Key	English	Notes	Japanese	French	Spanish	German	Italian	TPCi
onboard_welcome_screen|1	Hello there!\nI am Professor Willow.	The first introduction to the game and the professor. This version is only used until the Professor's name is finalized. Spoken by the Prof. 	やぁ、こんにちは。\nわたしはウィロー博士だ。	Bonjour !\nJe suis le Professeur Willow.	¡Hola!\nSoy el Profesor Willow.	Hallöchen!\nIch bin Prof. Willow.	Ciao!\nIo sono il Professor Willow.	Welcome to the world of Pokémon GO!
onboard_welcome_screen|2	Did you know that this world is inhabited by creatures known as Pokémon?		この世界には、ポケモンと呼ばれる不思議な生き物がすんでいるのは知っているかな？	Savais-tu que notre terre est habitée par des créatures appelées Pokémon ?	¿Sabías que este mundo está habitado por criaturas llamadas Pokémon?	Wusstest du, dass diese Welt von Wesen bevölkert wird, die man Pokémon nennt?	Lo sapevi che questo mondo è abitato da creature chiamate Pokémon?	
onboard_welcome_screen|3	Pokémon can be found in every corner of the earth.		ポケモンはあちこちにいて、	Les Pokémon se trouvent partout sur notre planète.	Se pueden encontrar Pokémon en todas partes.	Pokémon findet man überall auf dem Globus.	Puoi trovarne in ogni angolo del globo.	
onboard_welcome_screen|4	Some run across the plains, others fly through the skies, some live in the mountains, or in the forests, or near water…		走り回るもの、空を飛ぶもの、山や森、水辺にすむもの……	Certains vivent dans les plaines, d’autres sillonnent les cieux, et d’autres encore parcourent les montagnes, les forêts ou les lacs...	Algunos corren por el campo, otros vuelan por el cielo, algunos viven en la montaña, otros en el bosque y otros cerca del agua...	Manche von ihnen leben auf dem Land, andere in der Luft und wieder andere im Wasser...	Alcuni corrono liberi nelle valli, altri volano in alto nei cieli e poi ci sono quelli che dimorano sulle montagne, nelle foreste e in prossimità dell'acqua.	Added "in"
onboard_welcome_screen|5	I have spent my whole life studying them and their regional distribution.		わたしは、かれらの生態と分布についての研究をしてるんだ！	J’ai passé ma vie à les étudier et à m’intéresser à leur migration.	He pasado toda mi vida estudiándolos y analizando su distribución geográfica.	Mein ganzes Leben lang habe ich sie und ihre regionale Verbreitung studiert.	Ho trascorso la mia vita a studiarli e a comprenderne la distribuzione geografica.	
onboard_welcome_screen|6	Will you help me with my research?		きみもわたしの研究を手伝ってくれないか？	Tu veux bien m’aider dans mes recherches ?	¿Puedes ayudarme con mi investigación?	Hilfst du mir bei meinen Forschungen?	Che ne dici di darmi una mano nella mia ricerca?	
onboard_welcome_screen|7	That’s great! I was just looking for someone like you to help!		ありがたい！ニャースの手も借りたいと思っていたところだ。	Super ! Je suis bien content d’avoir de l’aide !	¡Genial! ¡Estaba buscando a alguien como tú para que me ayudara!	Fantastisch! Genau nach jemandem wie dir habe ich gesucht!	Ottimo! Ero appunto alla ricerca di un aiutante.	
onboard_welcome_screen|8	You’ll need to find and collect Pokémon from everywhere!		きみには世界中を探検し、ポケモンを捕まえて報告してほしい！	Tu dois trouver et collectionner des Pokémon du monde entier !	¡Tendrás que encontrar y coleccionar Pokémon de todas partes!	Deine Aufgabe besteht darin, überall Pokémon zu suchen und zu sammeln!	Non dovrai far altro che trovare e catturare Pokémon in giro per il mondo!	
onboard_welcome_screen|9	Now, choose your style for your adventure.	The last text shown before the user picks the avatar.	さて、どんなスタイルで出かけるのかな？	Et maintenant, choisis ton style pour ces nouvelles aventures.	Ahora, elige el estilo que quieres para tu aventura.	Wähle jetzt deinen Look für dein Abenteuer aus.	Ora, scegli uno stile per la tua avventura.	
								
