"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"
"onboard_welcome_screen|1"	"Hello there!\nI am Professor Willow."	"やぁ、こんにちは。\nわたしはウィロー博士だ。"	"Bonjour !\nJe suis le Professeur Willow."	"¡Hola!\nSoy el Profesor Willow."	"Hallöchen!\nIch bin Prof. Willow."	"Ciao!\nIo sono il Professor Willow."
"onboard_welcome_screen|2"	"Did you know that this world is inhabited by creatures known as Pokémon?"	"この世界には、ポケモンと呼ばれる不思議な生き物がすんでいるのは知っているかな？"	"Savais-tu que notre terre est habitée par des créatures appelées Pokémon ?"	"¿Sabías que este mundo está habitado por criaturas llamadas Pokémon?"	"Wusstest du, dass diese Welt von Wesen bevölkert wird, die man Pokémon nennt?"	"Lo sapevi che questo mondo è abitato da creature chiamate Pokémon?"
"onboard_welcome_screen|3"	"Pokémon can be found in every corner of the earth."	"ポケモンはあちこちにいて、"	"Les Pokémon se trouvent partout sur notre planète."	"Se pueden encontrar Pokémon en todas partes."	"Pokémon findet man überall auf dem Globus."	"Puoi trovarne in ogni angolo del globo."
"onboard_welcome_screen|4"	"Some run across the plains, others fly through the skies, some live in the mountains, or in the forests, or near water…"	"走り回るもの、空を飛ぶもの、山や森、水辺にすむもの……"	"Certains vivent dans les plaines, d’autres sillonnent les cieux, et d’autres encore parcourent les montagnes, les forêts ou les lacs..."	"Algunos corren por el campo, otros vuelan por el cielo, algunos viven en la montaña, otros en el bosque y otros cerca del agua..."	"Manche von ihnen leben auf dem Land, andere in der Luft und wieder andere im Wasser ..."	"Alcuni corrono liberi nelle valli, altri volano in alto nei cieli e poi ci sono quelli che dimorano sulle montagne, nelle foreste e in prossimità dell'acqua."
"onboard_welcome_screen|5"	"I have spent my whole life studying them and their regional distribution."	"わたしは、かれらの生態と分布についての研究をしてるんだ！"	"J’ai passé ma vie à les étudier et à m’intéresser à leur migration."	"He pasado toda mi vida estudiándolos y analizando su distribución geográfica."	"Mein ganzes Leben lang habe ich sie und ihre regionale Verbreitung studiert."	"Ho trascorso la mia vita a studiarli e a comprenderne la distribuzione geografica."
"onboard_welcome_screen|6"	"Will you help me with my research?"	"きみもわたしの研究を手伝ってくれないか？"	"Tu veux bien m’aider dans mes recherches ?"	"¿Puedes ayudarme con mi investigación?"	"Hilfst du mir bei meinen Forschungen?"	"Che ne dici di darmi una mano nella mia ricerca?"
"onboard_welcome_screen|7"	"That’s great! I was just looking for someone like you to help!"	"ありがたい！ニャースの手も借りたいと思っていたところだ。"	"Super ! Je suis bien content d’avoir de l’aide !"	"¡Genial! ¡Estaba buscando a alguien como tú para que me ayudara!"	"Fantastisch! Genau nach jemandem wie dir habe ich gesucht!"	"Ottimo! Ero appunto alla ricerca di un aiutante."
"onboard_welcome_screen|8"	"You’ll need to find and collect Pokémon from everywhere!"	"きみには世界中を探検し、ポケモンを捕まえて報告してほしい！"	"Tu dois trouver et collectionner des Pokémon du monde entier !"	"¡Tendrás que encontrar y coleccionar Pokémon de todas partes!"	"Deine Aufgabe besteht darin, überall Pokémon zu suchen und zu sammeln!"	"Non dovrai far altro che trovare e catturare Pokémon in giro per il mondo!"
"onboard_welcome_screen|9"	"Now, choose your style for your adventure."	"さて、どんなスタイルで出かけるのかな？"	"Et maintenant, choisis ton style pour ces nouvelles aventures."	"Ahora, elige el estilo que quieres para tu aventura."	"Wähle jetzt deinen Look für dein Abenteuer aus."	"Ora, scegli uno stile per la tua avventura."
"first_time_encounter|1"	"There’s a Pokémon nearby!"	"近くにポケモンがいるぞ！"	"Il y a un Pokémon tout près de toi !"	"¡Hay un Pokémon cerca!"	"Es befindet sich ein Pokémon in der Nähe!"	"C'è un Pokémon nei dintorni!"
"first_time_encounter|2"	"Here are some Poké Balls. These will help you catch one!"	"さっそく、このモンスターボールを使って、1匹捕まえてくれ！"	"Voici quelques Poké Balls. Elles t’aideront à en attraper un."	"Aquí tienes algunas Poké Balls. ¡Te ayudarán a capturarlo!"	"Hier sind einige Pokébälle, die dir beim Fangen eines Pokémon helfen!"	"Ecco delle Poké Ball. Con queste potrai catturarlo!"
"onboard_caught_pokemon|1"	"Congratulations!\nYou've caught your first Pokémon!"	"おめでとう！\n初めてのポケモンを捕まえたようだね。"	"Félicitations !\nTu as attrapé ton premier Pokémon."	"¡Enhorabuena!\n¡Has capturado tu primer Pokémon!"	"Glückwunsch!\nDu hast dein erstes Pokémon gefangen!"	"Complimenti!\nHai catturato il tuo primo Pokémon!"
"onboard_caught_pokemon|2"	"You are such a talented Pokémon Trainer!\nWhat should I call you?"	"きみにはポケモントレーナーの才能があるよ！\nきみのことをなんて呼べばいいかな？"	"Tu as du talent !\nQuel est ton nom ?"	"¡Tienes un gran talento como Entrenador Pokémon!\n¿Cómo debería llamarte?"	"Du bist ein begabter Pokémon-Trainer!\nWie soll ich dich nennen?"	"Si vede che hai la stoffa dell'Allenatore!\nCome ti chiami?"
"onboard_change_name|1"	"Hi, Trainer! What should I call you, again?"	"もういちど、別のニックネームを教えてくれないかな？"	"Bonjour, Dresseur ! Comment t’appelles-tu ?"	"¡Hola! ¿Cómo dices que debería llamarte?"	"Hi Trainer! Wie soll ich dich nochmal nennen?"	"Ciao, Allenatore! Come hai detto che ti chiami?"
"onboard_name_registered|1"	"Oh, what a cool nickname!\nNice to meet you!"	"いいニックネームだね、よろしくな！"	"Joli nom !\nC'est un plaisir de te rencontrer."	"Qué nombre tan interesante.\n¡Encantado de conocerte!"	"Ah, ein toller Spitzname!\nFreut mich, dich kennenzulernen!"	"Wow! Che bel nome!\nPiacere di conoscerti!"
"onboard_name_registered|2"	"You will need more Poké Balls and other useful items during your exploration."	"探検中、モンスターボールや他の道具も必要になると思うが、"	"Tu auras besoin de Poké Balls et d’autres objets utiles lors de tes explorations."	"Vas a necesitar más Poké Balls y otros objetos que te vendrán muy bien durante tu exploración."	"Auf deiner Entdeckungsreise benötigst du mehr Pokébälle und andere nützliche Items."	"Durante le tue esplorazioni ti occorreranno altre Poké Ball e altri strumenti."
"visit_a_pokestop|1"	"You can find items at PokéStops."	"世界中の記念碑やランドマークなどにあるポケストップで見つけられるから、"	"Tu trouveras ces objets dans les PokéStops."	"Puedes encontrar objetos en las Poképaradas."	"Items findest du bei PokéStops."	"Puoi trovarne presso i Pokéstop."
"visit_a_pokestop|2"	"They're found at interesting places like sculptures and monuments."	"いろいろな場所を訪ねてみるといい。"	"Ils se trouvent dans des endroits tels que des créations artistiques publiques ou des monuments."	"Están situadas en lugares interesantes, como en esculturas y monumentos."	"Diese befinden sich an interessanten Orten wie Skulpturen oder Baudenkmälern."	"Troverai i Pokéstop presso luoghi d'interesse storico e monumenti."
"visit_a_pokestop|3"	"From now on, you'll be off exploring all over the world. I hope you get out there and catch Pokémon—and register them in your Pokédex!"	"これから地球のあらゆる場所を探検し、ポケモンを捕まえて、ポケモン図鑑へ記録していって欲しい！"	"À compter de maintenant, tu vas explorer le monde entier. J’espère que tu sortiras attraper des Pokémon, et que tu les inscriras dans ton Pokédex !"	"A partir de ahora, podrás salir a explorar por todo el mundo. Espero que salgas y captures Pokémon, ¡y que los registres en tu Pokédex!"	"Geh jetzt überall auf der Welt auf Entdeckungsreise, um Pokémon zu fangen und sie in deinem Pokédex zu registrieren!"	"Ora tocca a te esplorare il mondo che ti circonda. Non perdere tempo e inizia a catturare tanti Pokémon per registrarli nel tuo Pokédex!"
